He didn't show up;Тэр ирээгүй|
He is history to me;Тэр миний хувьд өнгөрсөн хүн|
Help me;Туслаарай|
Help yourself;Хүссэнээрээ идээрэй|
Here is something for you;Таны төлөө энийг бэлдлээ|
Here you are;Энэ байна|
Hi;Сайн уу|
Hold it;Битгий хөдөл байз|
Hold on;Түр хүлээгээрэй|
How about you;Та ямар байна|
How big is it?;Хэр том гэж|
How come?;Яаж|
How do you like here?;Энд байх дуртай юмуу|
How have you been?;Өнгөрсөн хугацаанд юу хийж байв|
How many times do I have to say?;Хэд хэлүүлж байж ойлгох юм бэ|
How many?;Хэдэн ширхэг|
How much?;Хэр их|
How was your trip?;Аялал ямархуу байв|
How?;Яаж|
How's everything?;Давгүй юу|
How's work?;Ажил сайн уу|
How's you family?;Танайхан сайн уу|
Go ahead;Цааш нь|
Go fifty-fifty;50:50аар төлөе|
Go for it;Чи чаднаа хийгээд үзээрэй|
Go get it;Очоод аваад ир; оролдоод үзэх хэрэгтэй|
Go on please;За үргэлжлүүлээрэй|
Going down?;Доошоо явж бнуу?|
Going up?;Дээшээ явж бнуу?|
Good enough;Хангалттай сайн|
Good for you;Болж дээ|
Good luck to you;Чамд аз хиймор хүсье|
Good luck ;Амжилт хүсье|
Good talking to you;Чамтай ярилцах сайхан блаа|
Grow up;Ухаан суулдаа|
Guess what?;Юу гээч|
Hang in there;Тэсэж байгаарай|
Hang loose;Амарч байгаарай|
Hang on;Байзаарай|
Have a nice day;Өдрийг сайхан өнгөрүүлээрэй|
Have fun;Хөгжилтэй байгаарай|
Easy does it;Тайвшир битгий уурла|
Either will do;Аль нь ч болно|
Enjoy your meal;Сайхан хооллоорой|
Enough is enough;Хангалттай одоо боль|
Exactly;Яг энэ чинь|
Excellent;Шилдэг|
Excuse me;Өршөөгөөрэй|
Far from it;Дуусах болоогүй бн|
Fifty-Fifty;50:50 биздэ|
Follow me;Миний хойноос|
For good?;Үргэлж ийм бхуу|
For what?;Юунаас болоод|
Forget it;Мартчих|
Get in the line;Оочерлоорой|
Get lost;Яг одоо яв|
Get off my back;Намайг дахиж битгий зовоо|
Get real;Нухацтай бай|
Get the picture?;Бүрэн ойлгосон уу|
Give it a rest;Зөнд нь орхичих|
Give it a try;Нэг хичээгээд үзээч|
Give me a call;Надруу залгаарай|
Gladly;Дуртайяа|
Back me up;Надад туслаарай|
Be my guest;Таны тааллаар болог|
Be patient;Бага зэрэг л тэвччих|
Be punctual;Цагаа барьж байлдаа|
Be right back with you;Одоохон эргээд ирье|
Be seated;Суулдаа|
Beat it;Эндээс яваач|
Behave yourself;Соёлтой байгаач|
Better late than never;Оройтсон ч гэсэн оргүйгээс дээр|
Better than nothing;Оргүй байснаас л дээр|
Boy! it hurts;Ёо их өвдөж бн|
Break it up;Муудалцахаа болилдоо|
Call me..please;Намайг.. дуудаарай|
Can I get a ride?;Би дайгдчихаж болох уу|
Can you hear me now?;Сайн сонсогдож байна уу|
Can't argue with that;Энэ муудалдахаар юм биш бн|
Can't be better than this;Үүнээс илүү сайн юм гэж байхгүй|
Cash or charge;Бэлнээр үү, картаар уу|
Catch you later;Дараа уулзая|
Certainly;Яг тийм|
Charge it please;Төлбөрөө кредит картаар хийгээрэй|
Check it out;Шалгаад үздээ|
Check please;Тооцооны хуудсаа өгөөч|
Cheer up;Хүчтэй байгаарай|
Cheers;Төлөө|
Come and get it;Ирээд аваарай; энд ирээд идээрэй|
Come on in;Орооч|
Come on;Үгүй байлгүй дээ|
Congratulations;Баяр хүргэе|
Could be;Тийм юм байх шүү дээ|
Couldn't be better than this;Үүнээс илүү юм гэж юу байхав|
Definitely;Мэдээж тодорхой|
Delicious;Амттай бн|
Depends;Байдлаасаа л болно|
Did you get it?;Ойлгосон уу|
Didn't I make myself clear? ;Бт өөрийгөө тодорхой хэлээгүй гэж үү|
Disgusting;Онцгой бн|
Do I know it?;Би мэдэж бн; Хэн ч биш гээгүй шүүдээ|
Do I look all right?;Би зүгээр харагдаж бну|
Do you follow me?;Та миний хэлсэнийг ойлгох нь уу|
Do you have everything with you?;Танд бүгдээрээ бга юу|
Doing okay?;Бүтэмжтэй юу|
Don't get too serious;Битги хүндрүүлж ойлго|
Don't miss the boat;Боломжийг бүү алд|
Don't press your luck;Азандаа битгий их найд|
Don't ask;Бүү асуу|
Don't be a chicken;Айх юм байхгүй ээ|
Don't be afraid;Битгий ай|
Don't be foolish;Битгий тэнэглээд бай|
Don't be modest;Битгий даруухан загна|
Don't be shy;Битгий ичээрэй|
Don't be silly;Битгий улбайгаад бай|
Don't bother;Анхаарах хэрэггүй|
Don't bother me;Намайг битгий зовоо|
Don't change the subject;Ярианы сэдэв битгий өөрчлөөд бай|
Don't get into trouble;Битгий хутгалдаад бай|
Don't get upset;Битгий их уурлаарай|
Don't mess with me;Надтай битгий ингэж харьцаарай|
Don't let me down;Миний итгэлийг битгий алдаарай|
Don't make me laugh;Битги инээд хүргээч|
Don't push me;Битгий хүчлээд байгаач|
Don't push;Битгий түлхээч|
Don't worry about it;Бүү санаа зов|
Drive safely;Болгоомжтой яваарай|
A piece of cake;Ядах юмгүй|
Absolutely;Мэдээж|
After you;Та түрүүлээд яв|
Always;Дандаа|
Amazing;Мундаг юмаа|
And then?;Тэгээд яасан бэ|
Any good ideas?;Сайхан санаа бну|
Any time;Дуртай цагтаа|
Anybody home?;Гэрт чинь хүн бга юмуу|
Anything else?;Өөр яасан гэнээ|
Are you in line?;Та оочерлож бга юму|
Are you kidding?;Тоглоогүй биздэ|
Are you serious?;Нээрээ гэж ү|
At last;Ингэж нэг юм|
Attention, please;Анхаарлаа түр хандуулаач|
Awesome;Гайхалтай|
I agree;Санал нийлж байна|
I am touched;Үнэхээр сэтгэл хөдөллөө|
I am a little disappointed;Бага зэрэг урам хугарлаа|
I am all set;Бэлтгэл дууслаа|
I am aware of that;Тэрийг сайн ойлгож бга|
I am back ;Би эргээд эрлээ|
I am broke;Би хов хоосон|
I am coming;Одоо очлоо|
I am crazy about her;Би тэр бүсгүйд дурласан|
I am exhausted;Туйлдаж ядарлаа|
I am fed up with this;Үүнд нээрээ залхаж бн|
I am free;Завтай бн|
I am full;Гэдэс зайгүй боллоо|
I am getting hungry;Өлсөөд эхлэх чинь|
I am going to miss you;Чамайг санах бх даа|
I am impressed;Миний сэтгэл хөдөллөө|
I am in a hurry;Би яарч бн|
I am in need;Гунигтай бн|
I am nearsighted;Би ойрын хараа муутай|
I am on duty;Ажилтай бн|
I am scared to death;Үхэтлээ айж бн|
I am serious;Би тоглоогүй бна|
I am short-changed;Задгай мөнгө хүрэхгүй бн|
I am single;Би ганц бие|
I am sorry;уучлаарай
